question_text,option_a,option_b,option_c,option_d,correct_option,subject
Which of the following is a scalar quantity?,Force,Velocity,Speed,Displacement,Speed,Physics
The SI unit of electric current is?,Coulomb,Ampere,Volt,Ohm,Ampere,Physics
Which device converts electrical energy into mechanical energy?,Transformer,Electric Motor,Generator,Battery,Electric Motor,Physics
The speed of light in vacuum is approximately?,3×10^6 m/s,3×10^5 km/s,3×10^8 m/s,3×10^10 cm/s,3×10^8 m/s,Physics
The unit of power is?,Joule,Watt,Newton,Pascal,Watt,Physics
Which mirror is used in vehicles as rear-view mirror?,Concave,Convex,Plane,Parabolic,Convex,Physics
Which of these has the highest refractive index?,Air,Water,Glass,Diamond,Diamond,Physics
A device used to measure potential difference is called?,Ammeter,Voltmeter,Galvanometer,Ohmmeter,Voltmeter,Physics
Which law states that current is directly proportional to voltage?,Coulomb's Law,Ohm's Law,Faraday's Law,Lenz's Law,Ohm's Law,Physics
What type of lens is used to correct myopia?,Convex lens,Concave lens,Cylindrical lens,Plano-convex lens,Concave lens,Physics
The work done is zero when the force is?,Perpendicular to displacement,In direction of displacement,Opposite to displacement,None,Perpendicular to displacement,Physics
The energy possessed by a body due to motion is called?,Potential energy,Kinetic energy,Thermal energy,Chemical energy,Kinetic energy,Physics
Which physical quantity remains unchanged during refraction?,Speed,Direction,Frequency,Wavelength,Frequency,Physics
The unit of resistance is?,Watt,Volt,Ohm,Joule,Ohm,Physics
Which law is used in defining force?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Gravitation,Newton's Second Law,Physics
Which of the following is not a renewable source of energy?,Solar,Wind,Nuclear,Biomass,Nuclear,Physics
The phenomenon of splitting of white light into colors is called?,Reflection,Refraction,Dispersion,Diffraction,Dispersion,Physics
Which color has the shortest wavelength?,Red,Green,Blue,Violet,Violet,Physics
The direction of magnetic field lines inside a bar magnet is?,North to South,South to North,Random,No direction,South to North,Physics
Which metal is commonly used for making electrical wires?,Iron,Aluminium,Copper,Zinc,Copper,Physics
The commercial unit of electrical energy is?,Joule,Watt hour,Kilowatt hour,Calorie,Kilowatt hour,Physics
A fuse wire is made of material having?,High resistance,Low resistance,Zero resistance,Superconductivity,High resistance,Physics
"When light passes from air to water, it bends?",Towards normal,Away from normal,No bending,Totally reflected,Towards normal,Physics
Which of these is used to produce electric current?,Battery,Conductor,Insulator,Switch,Battery,Physics
What is the SI unit of work?,Newton,Watt,Joule,Pascal,Joule,Physics
The instrument used to detect current in a circuit is?,Voltmeter,Ammeter,Galvanometer,Wattmeter,Galvanometer,Physics
Electric current is the flow of?,Atoms,Electrons,Protons,Neutrons,Electrons,Physics
Sound cannot travel through?,Solid,Liquid,Gas,Vacuum,Vacuum,Physics
The rate of doing work is called?,Energy,Power,Force,Pressure,Power,Physics
The device which converts mechanical energy into electrical energy is?,Electric Motor,Generator,Transformer,Battery,Generator,Physics
