Question,Answer
Which part of the plant conducts food?,Phloem
Which organ is responsible for pumping blood?,Heart
Which gas is released during photosynthesis?,Oxygen
What is the basic unit of life?,Cell
Which part of the cell contains hereditary material?,Nucleus
Which organ in the human body purifies blood?,Kidney
What is the function of red blood cells?,Transport oxygen
Which organ controls all body activities?,Brain
Which part of the plant absorbs water?,Root
Which process converts glucose into energy?,Respiration
What is the powerhouse of the cell?,Mitochondria
What is the green pigment in leaves called?,Chlorophyll
Which blood group is known as the universal donor?,O
Which part of the flower produces pollen?,Anther
Which vitamin is produced in the skin by sunlight?,Vitamin D
Which part of the brain controls balance?,Cerebellum
Which is the largest organ in the human body?,Skin
Which gas is taken in during respiration?,Oxygen
Which organ produces insulin?,Pancreas
Which of these is a sense organ?,Skin
Which blood vessel carries blood away from the heart?,Artery
Which part of the eye controls the amount of light entering?,Iris
Which part of the human body helps in hearing?,Ear
What is the main function of white blood cells?,Fight infection
Which process helps plants lose water through leaves?,Transpiration
What type of reproduction involves one parent?,Asexual
Which structure connects mother and fetus?,Placenta
Which organ helps in breathing?,Lungs
What is the normal temperature of the human body?,37°C
Which enzyme is present in saliva?,Amylase
