Question,Answer
Which of the following is a scalar quantity?,Speed
The SI unit of electric current is?,Ampere
Which device converts electrical energy into mechanical energy?,Electric Motor
The speed of light in vacuum is approximately?,3×10^8 m/s
The unit of power is?,Watt
Which mirror is used in vehicles as rear-view mirror?,Convex
Which of these has the highest refractive index?,Diamond
A device used to measure potential difference is called?,Voltmeter
Which law states that current is directly proportional to voltage?,Ohm's Law
What type of lens is used to correct myopia?,Concave lens
The work done is zero when the force is?,Perpendicular to displacement
The energy possessed by a body due to motion is called?,Kinetic energy
Which physical quantity remains unchanged during refraction?,Frequency
The unit of resistance is?,Ohm
Which law is used in defining force?,Newton's Second Law
Which of the following is not a renewable source of energy?,Nuclear
The phenomenon of splitting of white light into colors is called?,Dispersion
Which color has the shortest wavelength?,Violet
The direction of magnetic field lines inside a bar magnet is?,South to North
Which metal is commonly used for making electrical wires?,Copper
The commercial unit of electrical energy is?,Kilowatt hour
A fuse wire is made of material having?,High resistance
"When light passes from air to water, it bends?",Towards normal
Which of these is used to produce electric current?,Battery
What is the SI unit of work?,Joule
The instrument used to detect current in a circuit is?,Galvanometer
Electric current is the flow of?,Electrons
Sound cannot travel through?,Vacuum
The rate of doing work is called?,Power
The device which converts mechanical energy into electrical energy is?,Generator
