question_text,option_a,option_b,option_c,option_d,correct_option,subject
Which of the following is a chemical change?,Melting of ice,Burning of paper,Dissolving sugar in water,Breaking glass,Burning of paper,Chemistry
What is the chemical formula of quicklime?,CaCO3,CaO,Ca(OH)2,CO2,CaO,Chemistry
The atomic number of oxygen is?,6,7,8,9,8,Chemistry
Which gas is known as laughing gas?,Nitric oxide,Nitrogen dioxide,Nitrous oxide,Carbon dioxide,Nitrous oxide,Chemistry
Which element is a liquid at room temperature?,Sodium,Iron,Mercury,Calcium,Mercury,Chemistry
The atomicity of ozone is?,1,2,3,4,3,Chemistry
Which metal is used for galvanization?,Aluminium,Iron,Copper,Zinc,Zinc,Chemistry
What is the pH of pure water at 25°C?,0,7,14,1,7,Chemistry
Which acid is present in vinegar?,Hydrochloric acid,Acetic acid,Sulphuric acid,Nitric acid,Acetic acid,Chemistry
Which gas is produced during the reaction of zinc with hydrochloric acid?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Hydrogen,Chemistry
What is the chemical formula of baking soda?,Na2CO3,NaHCO3,NaOH,NaCl,NaHCO3,Chemistry
Which of the following is a noble gas?,Hydrogen,Carbon,Helium,Nitrogen,Helium,Chemistry
Which of these is not a metal?,Sodium,Magnesium,Phosphorus,Aluminium,Phosphorus,Chemistry
What type of reaction is photosynthesis?,Decomposition,Combination,Endothermic,Exothermic,Endothermic,Chemistry
Which metal is stored under kerosene?,Iron,Gold,Sodium,Copper,Sodium,Chemistry
Which of the following is a base?,HCl,NaOH,CO2,CH4,NaOH,Chemistry
Which of the following indicators is used in acid-base titration?,Phenolphthalein,Methyl orange,Litmus,All of these,All of these,Chemistry
The molecular formula of methane is?,CH2,CH4,C2H4,C3H8,CH4,Chemistry
Which gas turns limewater milky?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Carbon dioxide,Chemistry
Which acid is found in lemon?,Acetic acid,Lactic acid,Citric acid,Formic acid,Citric acid,Chemistry
Which metal is the best conductor of electricity?,Aluminium,Copper,Silver,Iron,Silver,Chemistry
The process of coating iron with zinc is called?,Alloying,Galvanization,Electroplating,Tempering,Galvanization,Chemistry
Which non-metal is a good conductor of electricity?,Sulphur,Graphite,Phosphorus,Diamond,Graphite,Chemistry
Rusting of iron is a/an?,Physical change,Chemical change,Periodic change,Reversible change,Chemical change,Chemistry
Which of these substances has pH less than 7?,Soap,Bleach,Lemon juice,Baking soda,Lemon juice,Chemistry
Which gas is responsible for global warming?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide,Chemistry
The atomic number of carbon is?,4,6,8,10,6,Chemistry
The valency of chlorine in HCl is?,1,2,3,4,1,Chemistry
Which acid is used in car batteries?,Hydrochloric acid,Sulphuric acid,Nitric acid,Phosphoric acid,Sulphuric acid,Chemistry
Which is the lightest element?,Hydrogen,Helium,Lithium,Carbon,Hydrogen,Chemistry
