Question,Answer
Which of the following is a chemical change?,Burning of paper
What is the chemical formula of quicklime?,CaO
The atomic number of oxygen is?,8
Which gas is known as laughing gas?,Nitrous oxide
Which element is a liquid at room temperature?,Mercury
The atomicity of ozone is?,3
Which metal is used for galvanization?,Zinc
What is the pH of pure water at 25°C?,7
Which acid is present in vinegar?,Acetic acid
Which gas is produced during the reaction of zinc with hydrochloric acid?,Hydrogen
What is the chemical formula of baking soda?,NaHCO3
Which of the following is a noble gas?,Helium
Which of these is not a metal?,Phosphorus
What type of reaction is photosynthesis?,Endothermic
Which metal is stored under kerosene?,Sodium
Which of the following is a base?,NaOH
Which of the following indicators is used in acid-base titration?,All of these
The molecular formula of methane is?,CH4
Which gas turns limewater milky?,Carbon dioxide
Which acid is found in lemon?,Citric acid
Which metal is the best conductor of electricity?,Silver
The process of coating iron with zinc is called?,Galvanization
Which non-metal is a good conductor of electricity?,Graphite
Rusting of iron is a/an?,Chemical change
Which of these substances has pH less than 7?,Lemon juice
Which gas is responsible for global warming?,Carbon dioxide
The atomic number of carbon is?,6
The valency of chlorine in HCl is?,1
Which acid is used in car batteries?,Sulphuric acid
Which is the lightest element?,Hydrogen
